"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
4. <Am>--      next morning, bright and airy","4. [Verse]
5. <Am>--      Took a drop of the pure"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
5. <Am>--      Took a drop of the pure","4. [Verse]
6. <Am>--      to keep me heart from sinkin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
6. <Am>--      to keep me heart from sinkin'","4. [Verse]
7. <Am>--      That's the Paddy's cure"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
7. <Am>--      That's the Paddy's cure","4. [Verse]
8. <Am>--      whenever he's on for drinkin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
8. <Am>--      whenever he's on for drinkin'","4. [Verse]
9. <Am>--      To hear the lassies smile,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
9. <Am>--      To hear the lassies smile,","4. [Verse]
10. <Am>--      laughin' all the while"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
10. <Am>--      laughin' all the while","4. [Verse]
11. <Am>--      At me curious style,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
11. <Am>--      At me curious style,","4. [Verse]
12. <Am>--      'twould set your heart a bubblin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
12. <Am>--      'twould set your heart a bubblin'","4. [Verse]
13. <Am>--      Asked me was I hired,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
13. <Am>--      Asked me was I hired,","4. [Verse]
14. <Am>--      wages I required"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
14. <Am>--      wages I required","4. [Verse]
15. <Am>--      'Til I was almost tired"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
15. <Am>--      'Til I was almost tired","4. [Verse]
16. <Am>--      of the rocky road to Dublin"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
16. <Am>--      of the rocky road to Dublin","4. [Verse]
17. <Am>--      One, two, three,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
17. <Am>--      One, two, three,","4. [Verse]
18. <Am>-!      four, five"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
4. [Verse]
18. <Am>-!      four, five","5. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
5. [Chorus]
1. <Am>--      Hunt the hare and turn her down","5. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
5. [Chorus]
2. <Am>--      the rocky road and all","5. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
5. [Chorus]
3. <Am>--      the way to Dublin, whack","5. [Chorus]
4. <Am>--      follol le-dah"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
5. [Chorus]
4. <Am>--      follol le-dah","6. [Verse]
1. <Am>--      In Dublin next arrived,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
1. <Am>--      In Dublin next arrived,","6. [Verse]
2. <Am>--      I thought it such a pity"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
2. <Am>--      I thought it such a pity","6. [Verse]
3. <Am>--      To be so soon deprived"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
3. <Am>--      To be so soon deprived","6. [Verse]
4. <Am>--      a view of that fine city"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
4. <Am>--      a view of that fine city","6. [Verse]
5. <Am>--      Then I took a stroll,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
5. <Am>--      Then I took a stroll,","6. [Verse]
6. <Am>--      all among the quality"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
6. <Am>--      all among the quality","6. [Verse]
7. <Am>--      Bundle it was stole,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
7. <Am>--      Bundle it was stole,","6. [Verse]
8. <Am>--      in a neat locality"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
8. <Am>--      in a neat locality","6. [Verse]
9. <Am>--      Something crossed me mind,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
9. <Am>--      Something crossed me mind,","6. [Verse]
10. <Am>--      when I looked behind"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
10. <Am>--      when I looked behind","6. [Verse]
11. <Am>--      No bundle could I find"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
11. <Am>--      No bundle could I find","6. [Verse]
12. <Am>--      upon me stick a-wobblin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
12. <Am>--      upon me stick a-wobblin'","6. [Verse]
13. <Am>--      Enquiring for the rogue,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
13. <Am>--      Enquiring for the rogue,","6. [Verse]
14. <Am>--      said me Connaught brogue"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
14. <Am>--      said me Connaught brogue","6. [Verse]
15. <Am>--      Wasn't much in vogue"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
15. <Am>--      Wasn't much in vogue","6. [Verse]
16. <Am>--      on the rocky road to Dublin"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
16. <Am>--      on the rocky road to Dublin","6. [Verse]
17. <Am>--      One, two, three,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
17. <Am>--      One, two, three,","6. [Verse]
18. <Am>-!      four, five"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
6. [Verse]
18. <Am>-!      four, five","7. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
7. [Chorus]
1. <Am>--      Hunt the hare and turn her down","7. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
7. [Chorus]
2. <Am>--      the rocky road and all","7. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
7. [Chorus]
3. <Am>--      the way to Dublin, whack","7. [Chorus]
4. <Am>--      follol le-dah"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
7. [Chorus]
4. <Am>--      follol le-dah","8. [Verse]
1. <Am>--      From there I got away,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
1. <Am>--      From there I got away,","8. [Verse]
2. <Am>--      my spirits never failin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
2. <Am>--      my spirits never failin'","8. [Verse]
3. <Am>--      Landed on the quay,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
3. <Am>--      Landed on the quay,","8. [Verse]
4. <Am>--      just as the ship was sailin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
4. <Am>--      just as the ship was sailin'","8. [Verse]
5. <Am>--      Captain at me roared,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
5. <Am>--      Captain at me roared,","8. [Verse]
6. <Am>--      said that no room had he"
